base_asin,marketplace,filename,source_path
B00NUS5GXA,A1F83G8C2ARO7P,B00NUS5GXA_A1F83G8C2ARO7P.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B00NUS5GXA_A1F83G8C2ARO7P.png
B01LR5SIRI,ATVPDKIKX0DER,B01LR5SIRI_ATVPDKIKX0DER.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B01LR5SIRI_ATVPDKIKX0DER.png
B01LR5SM74,ATVPDKIKX0DER,B01LR5SM74_ATVPDKIKX0DER.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B01LR5SM74_ATVPDKIKX0DER.png
B07124WCKT,ATVPDKIKX0DER,B07124WCKT_ATVPDKIKX0DER.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B07124WCKT_ATVPDKIKX0DER.png
B07124WMX5,ATVPDKIKX0DER,B07124WMX5_ATVPDKIKX0DER.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B07124WMX5_ATVPDKIKX0DER.png
B071FJR4FW,ATVPDKIKX0DER,B071FJR4FW_ATVPDKIKX0DER.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B071FJR4FW_ATVPDKIKX0DER.png
B071WSFSGC,ATVPDKIKX0DER,B071WSFSGC_ATVPDKIKX0DER.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B071WSFSGC_ATVPDKIKX0DER.png
B0723DD7Z6,,B0723DD7Z6.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B0723DD7Z6.png
B0727Q5F94,ATVPDKIKX0DER,B0727Q5F94_ATVPDKIKX0DER.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B0727Q5F94_ATVPDKIKX0DER.png
B073WGP8XN,,B073WGP8XN.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B073WGP8XN.png
B073WHZKBF,,B073WHZKBF.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B073WHZKBF.png
B074DZ6NJB,ATVPDKIKX0DER,B074DZ6NJB_ATVPDKIKX0DER.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B074DZ6NJB_ATVPDKIKX0DER.png
B074DZHYS6,ATVPDKIKX0DER,B074DZHYS6_ATVPDKIKX0DER.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B074DZHYS6_ATVPDKIKX0DER.png
B074DZNJ3T,ATVPDKIKX0DER,B074DZNJ3T_ATVPDKIKX0DER.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B074DZNJ3T_ATVPDKIKX0DER.png
B0753P16BL,ATVPDKIKX0DER,B0753P16BL_ATVPDKIKX0DER.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B0753P16BL_ATVPDKIKX0DER.png
B075HR7LD2,ATVPDKIKX0DER,B075HR7LD2_ATVPDKIKX0DER.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B075HR7LD2_ATVPDKIKX0DER.png
B075HWDS7Y,ATVPDKIKX0DER,B075HWDS7Y_ATVPDKIKX0DER.png,/content/abo_500_annot_pack_extracted/abo_500_annot_pack/panels/B075HWDS7Y_ATVPDKIKX0DER.png
