property,group,value_type,pred_yes_count,pred_no_count,pred_yes_pct,coverage_pct,gt_known_count,extracted_when_gt_known,missed_when_gt_known,coverage_on_gt_known_pct,accuracy_pct,macro_f1_pct,selective_accuracy_pct,exact_match_on_gt_known_pct
intrinsic.main_material,intrinsic,categorical,0,5,0.0,0.0,5,0,5,0.0,0.0,0.0,,0.0
intrinsic.transparency_class,intrinsic,categorical,0,5,0.0,0.0,5,0,5,0.0,0.0,0.0,,0.0
intrinsic.glossiness_class,intrinsic,categorical,0,5,0.0,0.0,5,0,5,0.0,0.0,0.0,,0.0
intrinsic.surface_roughness_class,intrinsic,categorical,0,5,0.0,0.0,5,0,5,0.0,0.0,0.0,,0.0
intrinsic.shape_class,intrinsic,categorical,0,5,0.0,0.0,5,0,5,0.0,0.0,0.0,,0.0
intrinsic.rigidity_class,intrinsic,categorical,0,5,0.0,0.0,5,0,5,0.0,0.0,0.0,,0.0
intrinsic.friction_class,intrinsic,categorical,0,5,0.0,0.0,5,0,5,0.0,0.0,0.0,,0.0
intrinsic.metallic_appearance,intrinsic,boolean,0,5,0.0,0.0,5,0,5,0.0,0.0,0.0,,0.0
intrinsic.state_of_matter,intrinsic,categorical,0,5,0.0,0.0,5,0,5,0.0,0.0,0.0,,0.0
affordance.breakable,affordance,boolean,0,5,0.0,0.0,5,0,5,0.0,0.0,0.0,,0.0
